,Customer_name,Rating,Review_Title,Review
10,Ridhit,5,Stands true to its name ’Grand’ Hyatt,"Spent a memorable time at the hotel. Everything was up to the mark, right from the room to the service. The breakfast spread was overwhelming. And the staff, who served, made sure we were comfortable. Would recommend it for a staycation, leisure or just for a weekend break."
11,Nimish,5,Staycation at Grand Hyatt,"It was a very nice stay at Grand Hyatt. The breakfast was amazing, the staff was very polite. Grand Hyatt also offered a surprise Cake and a kind note. Kudos to Team Grand Hyatt - Chefs Nishad ,jupa,sandip,Karsh,mohan,kilen sumit,harsh,selvom ,eric and benaz with team fnb and culinary . Cheers! We plan to visit again soon."
12,HB,5,Wonderful experience - would highly recommend staying here,"A very friendly and courteous staff - Mr. Agnel D'Souza, Sagar,  Chefs Nishad ,jupa,sandip,Karsh,mohan,kilen sumit,harsh,selvom ,eric  and benaz with team fnb and culinary went above and beyond to mak our stay comfortable and safe during the pandemic.  Will definitely stay here whenever we are in town. Would highly recommend to everyone!"
13,Sumanth,5,Great food!,"Chefs Nishad ,jupa,sandip,Karsh,mohan,kilen sumit,harsh,selvom, eric  and benaz with team fnb and culinary were exceptionally good. Food was great! Service was excellent. Enjoyed my stay here. Would recommend 10/10."
14,bhaveshdutt09,4,Best place to pamper yourself,"I had a very nice time staying in this property. I would like to thank - Neha for smooth check in process, Carolyn for the delicious cake and Nishad for lip smaking breakfast and felf very special.   Considering this pandemic, its a nice place to enjoy yourself with your loved ones.   Keep up the good work and hope to come back soon. "
15,niceguyvic3,5,Still a work in progress to get to pre-pandemic standards,"Hotel is located in-between highways, however, access is limited due to construction of metro. No clear signs or warnings over email for travel correctness. Check-in was smooth. Rooms were clean. Few amenities were not in working condition showing pandemic strain. Staff too were wary about job security. Despite the few glitches, it is an excellent private stay, with cooperative and friendly staff. Food was elegant, though variety of non-veg items was constricted. "
16,Veer kumar,5,Most memorable Staycation!,"We went on the occasion of my parent’s wedding anniversary.Our stay at the hotel was made extra special by the friendly staff and I would like to specially mention the assistant manager Mr D’Souza,who went out of his way to make our stay memorable,Benaz and Sanika  were also very kind and cheerful.All in all,we had a great time and I would highly recommend this hotel."
17,aloksharma_pune,5,My recent stay at Grand Hyatt Mumbai,"Whether you are in Mumbai for leisure or Business , This is a great property to stay in in terms convenience and overall experience. Its located quite centrally and business districts are  also very close by."
18,Emily,5,Amazing customer service!!!,Mr Chandrakant from Laundry service has the most amazing customer service!  He is such a gentleman! He really loves his job and he is absolutely excellent at it! He is a real asset to the hotel for sure!
19,Abhishek,5,Best Staycation ever!,"We went for staycation to celebrate our anniversary. Their hospitality was really great, each and every person in hotel staff were warm and helpful. We celebrated our anniversary with cake Grand Hyatt people brought. We took package which included dinner and breakfast, both of them were worth, tasty, and had different varieties. Our room was clean and neat with all essentials mentioned in package. Grand Hyatt follows all Covid related guidelines. They also helped us in early check-in and late check-out. "
20,sanjeevi c,5,Good property and Good hospitality,The property is at its best despite the Covid pressure.  Clean rooms Friendly staff  Good breakfast Hospitality at its best   Great to see that they attribute importance to world of Hyatt program.   Keep up the good work. 
21,gshah S,5,#ExcellentStay #ExcellentService #ExcellentStaff,R#2160..23rd & 24th July.. One of the best staycation experience we ever had..amazing hospitality..amazing food..gr8 care been taken of ours due to some special case..Excellent service...special thanks to Head Chef Jhupa for freshly cooking Palak paneer🥘🥘🥘 for us on my wife's request..thanks to Suhas from House keeping for making our stay more comfortable by arranging for comfy bed and pillow on special request...gr8 gr8 thanks to entire reception staff to name some.. Adnan..Neha...and others for taking care of all our special requests..n lastly Mr. Vivek for doing all arrangements on restaurent and looking aftr our needs.. Definitely will plan to visit again...
22,Venkat1971,5,Wonderful Experience in our 2 nights stay at Grand Hyatt,"It was a fantastic feeling registering and the ease of coming in to hotel. Then the food for our breakfast, lunch and dinner was absolutely great and lovely service provided by Vivek, Rohit and Nikhil. It was almost like being at home. Then the stay was great with the rooms being just very good. On the last day Agnel also visited us and overall loved it and will come down to Grand Hyatt at my next available holiday."
23,Ojaswi S,5,Guest Review,"Absolutely wonderful experience staying at Grand Hyatt, Santa Cruz, Mumbai. Hospitality is great, however, a little politeness on the part of the hotel staff could add a notch to it.   The gym, which is a part of Club Oasis, is top class, with state-of-the-art equipments and brilliant trainers. Mr. Nilesh, in particular, is very helpful, and is a constant support all through. He's got an amazing sense of the perfect workout that one would require as per his/her needs. I'd definitely would like to vouch for him. :)"
24,Ashutosh U,5,Grand Hyatt is still grand,"Have been associated with this hotel from 2009 for business trips and I have to admit that this hotel never disappoints. After lockdown the rates are very affordable for such a location and service. Hope the rate is maintained for long so that many people can enjoy.  Special mention to team of Chefs  Nishad,Jhupa,Selvam,Manager Benaz & Agnel Desouza- what a Great Team !!  Thank you and all the best!!!"
25,Mayank Kumar,5,Great Staff and Host.,"It was a tight schedule between check-in and my business meeting. Due COVID the laundry service was not available 24hr and staff was about to leave. When I explained my situation and requested for an Iron and board, Mr Chandrakant took the cloths and delivered then back in less then an hour.   He was very polite, courteous and understanding. Had a wonderful experience."
26,Lionel Noronha,5,Our stay at Grand Hyatt Mumbai Hotel and Residences,"Hi  Back again at our favourite place  in Mumbai. We had been there in December 2020 for a single night and this time we stayed for 2 nights, because one single night was definitely not enough.  Our stay just gets better every time.  We stayed in a spacious suite and enjoyed every moment of it. We even went for e few hours of extension. Dining in 55 East where food and hospitality are given a lot of importance and that is why everything here is impeccable.  Hats off to the staff.   During this difficult period  making our staycation memorable, knowing what lies outside.  We want to especially thank Chef Siddarth, Chef Nishad for the food, Agnel as he is known as FATHER, Vivek and Lovelina for their hospitality. Loved the conversations we had during our stay with you all.  For…"
27,Tanvi G,4,Staycation at Grand Hyatt,"The hotel is beautiful and the staff is very warm and welcoming. For a local getaway its a suitable option to visit the property. the room was spacious and clean, It was a great change especially for a local getaway."
28,Sibin,5,An exquisite staycation,"We recently had a weekend stay at Grand Hyatt, Mumbai. Right from check in, the staff of hyatt were warm and friendly to me and my wife. They were kind enough to upgrade us to suite rooms. The room looked absolutely fabulous. We had breakfast buffet on both the days which was amazing. It was a wonderful spread of meals accross different cuisines. We had also dined at Celini - the caprese bruschetta and the tiramisu cake were our favorite dishes. Not to forget the splendid spa services offered at club oasis! The masseuses were excellent in their service. A special shout out to staff - Agnel d'souza, Chef Nishal, Adnan, Mahesh, Melvina and Renuka. They were super helpful to us and made our stay at the hotel a very surprisingly comfortable and enjoyable one, especially during the…"
29,ranjani Ramanathan,5,Strong appreciation for the hospitality,I visited mumbai for the first time for visa purposes. It was my happy fortune to have been hosted by the grand Hyatt hotel in Santa Cruz. Every person in the team was extremely friendly and welcoming. My personal highlight was the team that served us breakfast. They are so warm and friendly. I would like to mention chefs jhupa and Selvam who are so wonderful with the breakfast spreads. The managers benaz and Agnes were also very warm and they put together a nice celebration for me which made me feel really special. I recommend the place highly and I hope to keep my relationship with Hyatt going forward :)
30,Ashuto201,5,Grand Hyatt going grand again,After lockdown this hotel is still rocking. Hope they can maintain the affordable rates for long so that many people can enjoy the magnificent hotel like this in the heart of Mumbai. Thanks to all the courteous staff.
31,ami6694,4,Awesome experience,The stay was overall a very good experience. Rooms were clean food was great and staff was very supportive.  Covid rules were properly followed and equally reminded to the guestd to be followed nicely.
32,Nehamulla92,5,Grand Hyatt Mumbai never disappoints!,"My stay at the hotel was amazing. I would like to thank Mr Agnel dsouza and Siddesh kandalkar at the front desk for a smooth check in and check out experience. Mr. Praveen at the concierge has always been efficent. Mr. Vivek at the guest services made sure all the requests were delivered on time. Mr. Mayuresh at the room service was helpful. The restaurant staff Benaz , Renuka , Saraswati, Rohit, Nikhil sachdev and Lovina made sure our breakfast was smooth, from the time they greet you into the restaurant till the time you leave they make you feel comfortable and special. Housekeeping staff laxman was very helpful. Thank you for an amazing stay! I will be back soon."
33,Poonam G,5,Pleasant stay,"Nice service, room and food. The gym is excellent. Mr Sachin Surve the gym trainer is excellent. He is very helpful, very knowledgeable and open to sharing his knowledge. I would recommend everyone staying in Grand Hyatt to go and visit the gym."
34,Jatin,5,The Grand Hyatt Experience,Very Good Experience. Everything was Perfect. I loved it. The Food was very delicious. Gym was also very good and I had a good time there. Mr Nilesh was the instructor and he provided me with new and effective excerices for the entire development of my body.
35,Chaitanya Amte,5,Lesiure stay,"Had an amazing experience from warm welcome till the final departure. Great dinning experience in fifty five east with all staff. The head chef there ran an extra mile to bid farewell,Overall it was lovely and memorable stay ."
36,Aviator18,4,Short & Nice trip,"Business & Leisure Hotel, good for weekend stay if you dont want to travel outside Mumbai in view of the restrictions due to Covid. Celini has some wonderful pizza's and 55 degree east has a good buffet selection. Breakfast buffet  is a must have. They have happy hours which make it value for money in terms for liquor."
37,cassie,5,Excellent - perfect for a staycation,"Incredibly easy check-in, facilitated by a very hospitable staff. The best staycation we've had so far. Kudos to the entire staff for making the entire ordeal so seamless. The room was perfect & totally suitable to our liking."
38,Kinjal,5,Birthday bash,"Overall it was an amazing experience and remarkable hospitality. Mr. Agnel D'Souza, gave us a very welcome & helped us throughout the stay. Melvina from GRE was very co-operative & made sure that we were comfortable.Chef Nishad surprised us with his delicious birthday platter, food was remarkable. Also thanks to Victor, Adil and Sagar for amazing service throughout. Enjoyed to the fullest !"
39,Surabhi Tapre,5,Birthday Bash,"Had a great time with amazing hospitality! Mr. Agnel D'Souza gave us a very warm welcome. Chef Nishad surprised us with his amazing food and surprise birthday platter. Melvina from GRE was also very co-operative. Also, thanks to Victor,Sagar and Adil for amazing service throughout. Overall the experience was too good and we enjoyed to the fullest !"
40,Antra Khadye,5,Birthday celebration,"Amazing hospitality. The staff was very helpful and kind. Gestures were overwhelming.  Service was done by chef Nishad, chef karsh, chef Jupa, Nadim Hemanshu & Agnal . The suite was very spacious & we were taken care off in all the way possible . It was lovely staying with Grand Hyatt ."
41,Mukesh J,5,B'day celebration,"Hotel is superb,amenities are good,hospitality and staff courtesy is 10 on 10. Also surprise cake offered on my bday by hotel was a good hospitality offered by them. Just need to say they should keep veg and non veg buffet items on seperate counters."
42,Nick,5,Unmatched hospitality,"The hospitality of the staff at 55 East is absolutely exceptional. Staying here at Grand Hyatt for 22 days the staff at 55 East made me feel at home. A special thanks to Agnel , Nishad, Nadim, Keenan, Saraswati, Nikhil, Kevin and Vivek. Thank you and I can’t wait to visit Grand Hyatt Mumbai again!"
43,Sankalp Tak,5,It isn't a Hotel.. It's an Experience,"The Best place within the hustle-bustle of this megapolis.. Grand Hyatt is the epitome of luxury and ambience, with unmatched hospitality... A special mention goes out to the dining experience they provide, with heart warming reception by their Chef and the entire serving staff.. If you have the chance to stay here, don't miss it... You'll come back with memories that'll last you a lifetime..  They'll go out of their way to make you feel VVVIP.."
44,Amey,4,Staycation,We had a comfortable 1 day staycation at the hotel.  The Room was spacious & the service was hassle free. The dinner and breakfast spread was quite large and we had a wonderful day and have come back with some great memories
45,Rahul,5,Grand and great,"It stands out to its name and hype. Everything was wonderful, Great working staff, great front desk staff, great food and services. Only one advice is that, if there is VIP event at hotel, they must make sure to keep some people stand by to handle the rest of the customers as it was little difficult to find help during that particular time. Thanks for the hospitality."
46,vanidaya,4,"Nice short break during this pandemic, lovely staycation","Cleanliness was superb, hotel is well managed during COVID times and all protocols and COVID related behaviour is followed by the hotel. I am quite impressed. Furniture etc needs a better upgrade in the apartment. The light wood look doesn’t do justice to the one bedroom apartment. The decor needs an upgrade otherwise I was very happy with the stay."
47,Euro_travelDairies,5,Awesome stay with great Food,"The stay was amazing. The room that was given to us had an adjoining private kinda balcony and then a huge open area with lots of greenery. Room Amenities were great and comfortable.  We had our  evening time at the Bar , and the guy suggested a great gin martini. I loved my drink.  Our Dinner was at Celeini, they had the best Ravioli and Pizza.  Next day we had Lunch at Fifty five East , and as expected the buffet was grand and delicious. Mr.Vivek Pandey and the chef Jhupa were amazing host. Overall we were really happy with our weekend getaway! Must visit place."
48,Pinaki Dasgupta,5,Memorable Experience!!!,"I booked a room in Grand Hyatt Mumbai to celebrate the birthday of my wife. The hotel management made her birthday extra special with their generous hospitality. They upgraded our room to a courtyard room. We had a wonderful experience at the Grand Hyatt. Neat and clean high-quality rooms with overwhelming services. Every staff member I encountered, from the valet to the check-in to the cleaning staff were delightful and eager to help! Thank you! Will recommend it to my colleagues! Special thanks to Agnel DSouza and Melvina... Actually, I can't complain about my dislike. I know this is a covid 19 pandemic time. So we couldn't access a few facilities like a swimming pool, jacuzzi, shopping mall etc. I just wished we would've been given access to roam around the swimming pool of…"
49,Chetali B,3,Good hospitality with nice complementary cake.,Less recreational facilities offered at the hotel The room did not have balcony/ gallery. Otherwise all okay.  Dining experience was very good Nikhil Sachdev and Benaz were very helpful at the restaurant. They provided good service.  Veg and non veg counters can be separated. 
50,Rahila,5,Peaceful staycation,"The staff was courteous, room was clean and the breakfast was amazing. The property is vast and getting up with a view of greenery is the best. I was celebrating mom bday and they gave us complimentary cake. No unnecessary disturbance. In breakfast they decorated sweet dish and gave us which was very sweet of them. My checkout was also so quick n was given extension. Thanks to Chef Nishad, Nikhil Sachdev, Deepak, Rohit, Benaz and their manager Angel for making my staycation pleasant."
51,Afrin Shaikh,5,Afrin shaikh,"The stay was awesome... the ambience was very pretty and calm something that we needed as it was just a one day staycation. The staff was very polite and helpful specially  Chefs Nishad ,jupa,sandip,Karsh,mohan,kilen sumit,harsh,Selvam  ,eric  and benaz with team fnb and culinary  who helped us during our stay... Afrin Shaikh"
52,Saumil,4,Chef review,Hospitality was top notched. The food was delicious with variety of foods with authentic taste! The hospitality when they were told about the anniversary was very good and special. Thanks to the hyatt team!
53,Sajeev,4,Feed back of GH stay,"It was really good to have an experience in grant Hyatt I would like to tell you if you could sent some of the photographs which you took on my visit to GH ,it would be appreciated .  Please sent the photographs to my office number 9745000156 .   One suggestion from my side is that there is very less  offers for the guest that could be changed."
54,Melrose Melvin Creado,5,Memorable day,"I booked 2 rooms at the Grand hyatt Mumbai. The checkin process was smooth and hassle free. Special thanks to Mr.Adnan and Ms. Melvina. We were given an upgrade. Mr. Agnel was there to assist us and give us a tour of the beautiful property. He was very courteous and respectful. The guest service staff on call, Mr. Eric was very accommodating and responded to our request very swiftly.  The dinner buffet was good but the options were very limited. However the breakfast buffet was mind blowing. The Chef came personally to our take to inquire about our experience.  It made us feel very special. Mr. Nikhil and Ms.Behnaz did a wonderful job and were on their toes assisting not only us but also all the other guest. We had a wonderful stay and look forward to visiting the grand hyatt…"
55,Apurva Hoshing,5,A GRAND STAY AT GRAND HYATT,"Hi . I am a frequent  traveler to Mumbai  and often accommodate myself into a 5 star property .This time I booked the Grand Hyatt . I hereby share  my experience of the hotel. To begin with,  Firstly it was   the grandiose that I was awestruck at and secondly but most importantly the hospitality. The simple yet  warm welcome at the front desk and then at the restaurant was noteworthy. I had checked in by late evening so by rule had to visit  the restaurant by 7 as the timings were a bit restrictive . No qualms about though that as the welcome at the restaurant was so lovely especiallly the food which was absolutely heaven.  Special thanks to Chef Nishad who not only cooked great meals but ensured we were attended properly . The spread was delectable. The Cuisine here satisfies…"
56,Kanak Durga,5,Perfect Staycation destination,"More than a perfect place to spend your me time with friends n family amidst such challenging environment. Proper sanitization guidelines followed,all the staff were in masks and urging the guests to adhere to the safety norms . Perfect room with a green patio , courteous staff and prompt service . Buffet spread both at the breakfast and Lunch was amazing and delectable . Will definitely fill your palate . We had a wonderful time and plan to visit again soon . Special mention of the staff . Chef Nishad , Jushpa and Team Benaz for the fingerlicking Food n service  and Agnel D’souza for making sure our stay was enjoyable and gratifying … and not to forget the fond farewell scene … such a heart warming experience .. 🙂"
57,Preeti Naidu,5,Experience of staycation,Food was spectacular & extremely fresh & creative appetizers which were scrumptious.The salad too was fresh & very tasty. Overall it was a very good experience. Looking forward to the next visit soon.
58,vyom c,5,Club oasis fitness center,"Training with Sachin on my first day at the grand Hyatt. Amazing experience. Great ambience at the gym, few people.  Although the swimming pool, steam etc aren't operational due to covid. Still the hospitality at the gym and hotel overall is commendable. "
59,pevunthara200388,3,Worst food and the way they serve.,"The quality of food was pathetic, don’t expect anything timely. The street food is much better than Hyatt n also they will serve better than Hyatt. During my stay (7days) I complained several times, there is no improvement in the food."
60,Anandi V,5,Great hospitality,"I have stayed with my family at Grand Hyatt a few times and it has been a great experience. The staff here is very polite and service incredible. A special experience at the restaurant has made the stay even more memorable, thanks to Chef Nishad and his keen attention to all the guests. We recieved a special treatment from the Chef and the team chef Karsh, chef Jupa,Nadim Benaz and Agnal . The Chef even made a special preparation for our family, through a very sweet gesture. A very special mention to Miss Renuka at the restaurant who is super warm and hospitable and tends to the guests with utmost warmth and glee. Overall, great hotel and incredible staff and service, making it a place with warmth of a home and service of a 5 star hotel"
61,Mukesh S,5,Post Covid Staycation with Family - Grand Hyatt,"Impressive Buffet, rooms, hospitality... Right from security check-in, front office, upgrades suggestions, In-room dining. Hyatts have maintained their standard. Social distance maintained without slight discomfort to guests.  Three cheers to Team Grand Hyatt.  See you soon. Mukesh"
62,Bhavesh Lodaya,5,Anniversary,"Awesome ambiance, 100 out of 100 for Catering and Services. You guys made my day with great deal,food was beyond my expectation. Special thanks to Pooja from Hyaat Customer care she help me to get best deal, Nishad for good food Angel for his prompt helping behavior. Keep up the good work guys"
63,kinnari9773,5,Best experience,"Amazing experience we girls had, looking forward for more staycation at your hotel. They made us feel special as were were only 3 girls, hospitality was very nice. Would surely recommend to my friends and relatives."
64,osh294,5,Stay at Grand Hyatt,"Had a very pleasant stay at Grand Hyatt.  Mr Agnel was an absolute delight to interact with. Renuka at 55 East was also very nice and helpful, both made breakfast a very pleasant experience. It truly felt that the breakfast staff at 55 East went out of their way to ensure you have a great time. The rooms are spotless, the housekeeping staff is quick at their feet and very professional. All in all a lovely experience,  10/10 would definitely  recommend."
65,Vaibhav P,5,Club oasis fitness centre,"The stay was very pleasant. Nice service and food. The gym is excellent. Mr Sachin Surve the gym trainer is excellent. He is very helpful, very knowledgeable and open to sharing his knowledge. Got to learn a lot about fitness from him. I would recommend everyone staying in Grand Hyatt to go and visit the gym."
66,Cupidtraveler,5,Grandness @ Hyatt,"We visited with quite skeptical mind , but as the title says ..  Right from first step in the lobby to welcoming smiling staff , they also upgraded us to room with premium view .  Room were very comforting, relaxed ambience & service.  Don't miss to get your taste buds on Celini (Italian restaurant )  & buffet at Fifty Five East restaurant.  We wished we cld have stayed longer , but surely visiting again that what I said to myself as I checked out with an unfulfilling thirst.   #greatstaff  #greatfood  #peacewithincity #grandhyatt"
67,manishakothari86,4,Family vacation,The trip was fantastic. Kids enjoyed a lot specially bath tub. Jain food was especially lip smacking. Staff was very supportive. Cleanliness was maintained in the hotel. The kids were very gloomy as we were leaving the hotel. 
68,K K,4,Great time spend for few days at Grand Hyatt,"Fantastic stay at Grand Hyatt, Cleanliness, hygienic and ok in food but excellent service levels.  Their Team indeed make their brand great in particular, I want to thank  Mr. Adnan, being Senior he personally assured me the comforts at all levels and I admire his enthusiasm of serving guests in this hard times. Regular Guest Kumar Khemani"
69,Milind Makwana,5,Awesome Staycation,"""Grand Hyatt is well known for their service and hospitality to get this experience almost after 1 and half year of covid pandemic me and my family went for quick staycation on 17th and 18th July 2021. We truly spent awesome time during our staycation. Team Grand Hyatt took all the precautionary safety measures for their guests during covid situation. All the staff members were friendly, humble and efficient on their part. Big thank you to Mr. Nitesh for assisting us during our check-in at the reception desk. Room was pleasant, big and beautiful with all the latest amenities. Their prompt and excellent room service achive great impression on my mind. thank Mr. Nishad (Master Chef) and his team for serving delicious food at the ""Fifty Five East"" restaurant, spreads at the counter…"
70,Happiness38523037733,5,Staycation at Grand Hyatt,"My staycation at Garnd Hyatt was amazing. I loved each and everything about the place, the staff was friendly and all the services provided were amazing. The hotel maintained all the hygiene rules and safety. I would definitely love to visit Grand Hyatt again."
71,Amit Kumar,5,I was taken care of….,"Very motivated staff. Special mention for Mr Pramod from in-room dining, Rohan, Manjushree, Malayshree, Ashvika again from room service order team, Mr Raju & Mr Chandrakant from Laundry & entire housekeeping staff.  They took good care!"
72,Harshali Paul Dadan,5,Birthday Stay,"Had wonderful time at Grand Hyatt during my two days stay at the Hotel. I went with my family to celebrate my birthday on 15and 16th July. All the staff was cordial and helpful. Would like to specially thank Renuka and Vivek at 55 east for taking care of us at restaurant, Garishma and rajesh at Gourmet store, Saif at celini. A big thank you to sonia Paul for making my stay so memorable. Grand Hyatt is always close to me as my first job over their. Thank you all for such wonderful experience. We all really enjoyed."
73,Viraf Hansotia,5,Great option for a staycation,What a great staycation.  The Grand Hyatt really knows how to pamper you.  We had booked a club room and were not disappointed.  The welcome goodies from the hotel upon arrival were a good touch.   the evening cocktails are an absolute must and great value for the spread they put out. The spa deserves a. Special compliment as it was extremely hygienic and well  priced for the standard and quality it had to offer.  The room had two TVS (YES that fascinated me)  and a large work desk as well as comfortable lounge sofa area to work during the day. 
74,aditivijayakar2021,5,💕👍,Great property and excellent service! The rooms are well done and maintained. The team across services is very courteous and well trained. The fact that the hotel cares about the guest experience is very obvious despite it being packed overv our stay. 
75,DhvaneeB,4,Great and pleasant stay!,"Had been there with my family for my Visa appointment. The check-in was smooth. Followed all covid-19 precautions. Excellent hospitability, cleanliness and responsive staff. interiors of the hotel is calm and so pleasant."
76,Varsha1603,5,A Perfect Place for Stay,"A very comfortable, safe and a secure place for stay for the ones travelling Solo. The room was super clean and hygienic and the staff was kind too!  The food is a must try with a multi cuisine spread and super friendly chefs!  Looking forward to visit Mumbai and Hyatt soon!"
77,Vineet R,5,Service that speaks volumes,"We were two couples who staycayed here. The service was remarkable, there were a few hiccups but the staff was very supportive and took immediate corrective measures. Special mention to Chitrak Chatterjee and Melvina from the concierge. We had a good experience, food and stay. Thanks a lot to the Hyatt team."
78,Bhavisha P,2,Stay in July,Extremely poor service not ethics housekeeping was worse of all.  Too many follow up over calls not a good attitude with staff of asked to clean table after meal.   To make up the bad experience staff gave us complimentary dish but the overall experience cannot be undone.   Ratings -  Stay 2/5 Service 1/5 Courtesy 2.5/5  Food 4/5  
79,Jay hivare,5,Weekend with family,"Excellent service with the restaurant team the way they serve people with love and grt respect special thanks to Nishad with other team members Deepak,vivek ,aman.amrita and also entire team who has served us with open heart and very special thanks to Siddharth."
80,Vikas C M,1,Very poor service and commitment,1     very bad service not as per 5star staff also give wrong commitment  for service call from check in to till night but no one interested to attend also talk with duty manager but she and he both give wrong commitment they don’t help after told them kids hungry I have booked 5 room for my family
81,sidonode,5,CLASSY,IT WAS GREAT AND REALLY FUN. it was classy and they were really helpful. amazing service and beautiful property. the staff is really polite. would definitely visit again. safety measures were also there for covid 19.
82,Venture05720923684,1,Worst stay of my life,They don't know how to treat their guests. All they want is money! money! & money!. Lockdown has brainwashed the training. Wish they utilise the same money for re-training and make GH once again a good place to live and enjoy.
83,ssambhaji30,5,Grand staycation,"Grand Hyatt is actually grand by 💖, they provide more than our expectations. They show as they are. Buffet dinner as well as breakfast with helping staff. Special thanks to @Rohit@Benaz@Raj @chefNishad for special see off dessert ❤️☺️"
84,ruchimjadhav,5,Amazing Experience,We had an amazing 5star experience at Grand Hyatt Mumbai. The stay experience was above our expectations. The room was clean and spacious. The staff members were very courteous and friendly. The best part of our trip was the food - breakfast and dinner at Fifty Five East. We loved the overall experience and we would visit again soon. 
85,riddesh,5,Good,Rohit at the buffet is excellent and friendly person break  fast buffet is extensive and wide spread. Really good hospitality. Rooms are comfortable and the lady whi helped chekin was  friendly too overall a good hotel and Highly recommended.
86,manishshah0210,4,Comfortable stay near the airport,Happy to recommend this hotel.. restaurant buffet needs improvement..better choices are required.. good breakfast buffet..rooms were very clean and comfortable with all required facilities. Good location 
